prompt,completion,guess,stage,secret
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
DOWAR: D(x) O(x) W(x) A(✓) R(-)
COVER: C(✓) O(x) V(x) E(x) R(-)
VULGO: V(x) U(x) L(x) G(x) O(x)
STYED: S(-) T(x) Y(x) E(x) D(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>CRIAS</guess>",CRIAS,late_game,CRIAS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
WOWEE: W(x) O(✓) W(x) E(x) E(x)
DOPEY: D(x) O(✓) P(x) E(x) Y(x)
SMAAK: S(x) M(x) A(x) A(x) K(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know O is at position 2, O is at position 2. I can eliminate D, Y, K. Let me choose a word that satisfies these constraints.</think><guess>COQUI</guess>",COQUI,mid_game,COXIB
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
OATEN: O(x) A(x) T(x) E(-) N(-)
GILAS: G(x) I(x) L(-) A(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains L, N but in different positions. I can eliminate G, T, S. Let me choose a word that satisfies these constraints.</think><guess>BLEND</guess>",BLEND,mid_game,NEWLY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
BOWES: B(x) O(x) W(x) E(-) S(-)
COURT: C(x) O(x) U(x) R(x) T(x)
MAIDS: M(x) A(-) I(x) D(x) S(-)
SKOFF: S(-) K(x) O(x) F(x) F(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>LEASH</guess>",LEASH,late_game,PEASE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
AURES: A(x) U(x) R(-) E(-) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains E, R but in different positions. I can eliminate U, S, A. Let me choose a word that satisfies these constraints.</think><guess>REWON</guess>",REWON,mid_game,GENRE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:","<think>Let me begin with a word that has high-frequency letters like E, A, R, S, and T.</think><guess>SEWAR</guess>",SEWAR,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
HAVOC: H(x) A(✓) V(x) O(x) C(x)
TOSHY: T(x) O(x) S(-) H(x) Y(x)
REDOS: R(x) E(x) D(-) O(x) S(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know A is at position 2, S is at position 5. The word contains D, S but in different positions. I can eliminate Y, T, C. Let me choose a word that satisfies these constraints.</think><guess>DAWDS</guess>",DAWDS,mid_game,WANDS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Starting with a word containing multiple vowels will help narrow down possibilities quickly.</think><guess>OSIER</guess>,OSIER,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
SPIKY: S(x) P(x) I(-) K(x) Y(-)
ARGUS: A(x) R(x) G(x) U(x) S(x)
SHOJI: S(x) H(x) O(x) J(x) I(-)
WAVEY: W(x) A(x) V(x) E(x) Y(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>CYNIC</guess>",CYNIC,late_game,CYNIC
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
DONAH: D(✓) O(-) N(x) A(x) H(x)
POWRE: P(x) O(-) W(x) R(x) E(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know D is at position 1. The word contains E, O but in different positions. I can eliminate R, W, N. Let me choose a word that satisfies these constraints.</think><guess>DEMOS</guess>",DEMOS,mid_game,DELOS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
DAMPS: D(x) A(x) M(x) P(x) S(x)
CABAL: C(x) A(x) B(x) A(x) L(-)
AKING: A(x) K(x) I(x) N(x) G(x)
KECKS: K(x) E(✓) C(x) K(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>LEFTE</guess>",LEFTE,late_game,LEFTE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
WIELD: W(x) I(x) E(x) L(x) D(x)
BOGIE: B(x) O(x) G(x) I(x) E(x)
SUNNY: S(✓) U(x) N(x) N(x) Y(x)
WAXES: W(x) A(-) X(x) E(x) S(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>SMAAK</guess>",SMAAK,late_game,SMAAK
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
RUBLE: R(x) U(x) B(x) L(x) E(x)
PEDES: P(x) E(x) D(-) E(x) S(✓)
USNEA: U(x) S(-) N(x) E(x) A(-)
DONKO: D(✓) O(x) N(x) K(x) O(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>DIVAS</guess>",DIVAS,late_game,DIVAS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
FRONS: F(x) R(x) O(-) N(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains O but in different positions. I can eliminate F, S, N. Let me choose a word that satisfies these constraints.</think><guess>METHO</guess>",METHO,mid_game,HOICK
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll start with a word containing common vowels and consonants to maximize information gain.</think><guess>PUNCH</guess>,PUNCH,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
BONZE: B(x) O(x) N(x) Z(x) E(x)
KAPOW: K(x) A(x) P(-) O(x) W(x)
MYLAR: M(x) Y(-) L(✓) A(x) R(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know L is at position 3. The word contains P, Y but in different positions. I can eliminate R, K, B. Let me choose a word that satisfies these constraints.</think><guess>PULPY</guess>",PULPY,mid_game,GULPY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
FLEAS: F(x) L(x) E(-) A(-) S(x)
RECON: R(-) E(-) C(x) O(x) N(x)
GEBUR: G(x) E(-) B(x) U(x) R(✓)
SIZAR: S(x) I(x) Z(x) A(-) R(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>VAPER</guess>",VAPER,late_game,PAPER
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CHOWS: C(✓) H(✓) O(x) W(x) S(x)
ROBLE: R(x) O(x) B(x) L(x) E(x)
FELLY: F(x) E(x) L(x) L(x) Y(x)
PASTE: P(x) A(-) S(x) T(x) E(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>CHINA</guess>",CHINA,late_game,CHANK
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
GAMIC: G(x) A(✓) M(x) I(x) C(x)
SHMOE: S(x) H(x) M(x) O(x) E(-)
WALIS: W(x) A(✓) L(x) I(x) S(x)
AMONG: A(-) M(x) O(x) N(x) G(x)
COTAN: C(x) O(x) T(✓) A(-) N(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>RATED</guess>",RATED,late_game,EATER
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll choose a word with common letters in typical positions for English words.</think><guess>PORCH</guess>,PORCH,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
PEPOS: P(x) E(x) P(x) O(x) S(x)
MAUVE: M(x) A(x) U(x) V(x) E(x)
WINGE: W(x) I(✓) N(✓) G(x) E(x)
REPLY: R(x) E(x) P(x) L(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>BINIT</guess>",BINIT,late_game,BINIT
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
WAQFS: W(x) A(x) Q(x) F(x) S(x)
RIFLE: R(x) I(-) F(x) L(✓) E(x)
MELLS: M(x) E(x) L(x) L(✓) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know L is at position 4, L is at position 4. The word contains I but in different positions. I can eliminate Q, R, F. Let me choose a word that satisfies these constraints.</think><guess>DOILY</guess>",DOILY,mid_game,DOILY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll start with a word containing common vowels and consonants to maximize information gain.</think><guess>TABBY</guess>,TABBY,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
XENON: X(x) E(✓) N(x) O(x) N(x)
LIMBO: L(x) I(x) M(x) B(x) O(x)
FLOWN: F(x) L(x) O(x) W(-) N(x)
SUMOS: S(x) U(x) M(x) O(x) S(x)
MURRY: M(x) U(x) R(x) R(x) Y(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>WEDGY</guess>",WEDGY,late_game,WEDGY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll start with a word containing common vowels and consonants to maximize information gain.</think><guess>JEWEL</guess>,JEWEL,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
SPICE: S(x) P(x) I(x) C(x) E(✓)
LOCUM: L(-) O(x) C(x) U(x) M(x)
STYMY: S(x) T(x) Y(x) M(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know E is at position 5. The word contains L but in different positions. I can eliminate U, Y, T. Let me choose a word that satisfies these constraints.</think><guess>VEALE</guess>",VEALE,mid_game,ARGLE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
PIKER: P(x) I(x) K(x) E(x) R(-)
CORKY: C(x) O(x) R(✓) K(x) Y(x)
SONNE: S(-) O(x) N(x) N(x) E(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know R is at position 3. The word contains S, R but in different positions. I can eliminate Y, K, C. Let me choose a word that satisfies these constraints.</think><guess>HARDS</guess>",HARDS,mid_game,MARSH
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:","<think>Let me begin with a word that has high-frequency letters like E, A, R, S, and T.</think><guess>EMOJI</guess>",EMOJI,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
SATES: S(✓) A(x) T(x) E(✓) S(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know S is at position 1, E is at position 4. I can eliminate T, A. Let me choose a word that satisfies these constraints.</think><guess>SWEES</guess>",SWEES,mid_game,SOKES
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll choose a word with common letters in typical positions for English words.</think><guess>GRYCE</guess>,GRYCE,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Beginning with a balanced mix of vowels and consonants in common positions.</think><guess>FEEBS</guess>,FEEBS,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
LUTES: L(x) U(x) T(x) E(x) S(x)
SLAPS: S(x) L(x) A(x) P(x) S(x)
BEDEW: B(x) E(x) D(-) E(x) W(x)
REBIT: R(x) E(x) B(x) I(x) T(x)
TOMES: T(x) O(✓) M(x) E(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>DONKO</guess>",DONKO,late_game,FOODY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
TURME: T(x) U(x) R(x) M(x) E(x)
CAREX: C(✓) A(✓) R(x) E(x) X(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know C is at position 1, A is at position 2. I can eliminate U, T, M. Let me choose a word that satisfies these constraints.</think><guess>CALIX</guess>",CALIX,mid_game,CALIX
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Beginning with a balanced mix of vowels and consonants in common positions.</think><guess>STIRS</guess>,STIRS,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
BANED: B(-) A(x) N(x) E(x) D(x)
REDYE: R(✓) E(x) D(x) Y(x) E(x)
LUTER: L(x) U(✓) T(x) E(x) R(-)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know R is at position 1, U is at position 2. The word contains B, R but in different positions. I can eliminate D, Y, T. Let me choose a word that satisfies these constraints.</think><guess>RUMBO</guess>",RUMBO,mid_game,RUMBO
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
RYALS: R(x) Y(x) A(x) L(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I can eliminate R, Y, L. Let me choose a word that satisfies these constraints.</think><guess>NEEZE</guess>",NEEZE,mid_game,GUMMI
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Beginning with a balanced mix of vowels and consonants in common positions.</think><guess>GRYDE</guess>,GRYDE,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Starting with a word containing multiple vowels will help narrow down possibilities quickly.</think><guess>SLIDE</guess>,SLIDE,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
URATE: U(x) R(x) A(-) T(x) E(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know E is at position 5. The word contains A but in different positions. I can eliminate T, U, R. Let me choose a word that satisfies these constraints.</think><guess>AMOLE</guess>",AMOLE,mid_game,AMOLE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
HUGER: H(x) U(x) G(x) E(x) R(-)
PADRE: P(-) A(-) D(x) R(-) E(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains A, P but in different positions. I can eliminate D, U, G. Let me choose a word that satisfies these constraints.</think><guess>SPRAT</guess>",SPRAT,mid_game,TRAPT
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:","<think>Let me begin with a word that has high-frequency letters like E, A, R, S, and T.</think><guess>FENDY</guess>",FENDY,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll choose a word with common letters in typical positions for English words.</think><guess>FOLLY</guess>,FOLLY,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
EMAIL: E(x) M(x) A(✓) I(x) L(x)
HIKES: H(x) I(x) K(x) E(x) S(✓)
MAIRS: M(x) A(-) I(x) R(✓) S(✓)
SMOWT: S(-) M(x) O(x) W(x) T(x)
LAVVY: L(x) A(-) V(x) V(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>ARARS</guess>",ARARS,late_game,ARARS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
AGAZE: A(✓) G(x) A(x) Z(x) E(x)
BLUES: B(x) L(x) U(x) E(x) S(✓)
KNEED: K(x) N(x) E(x) E(x) D(-)
ARBOR: A(✓) R(x) B(x) O(✓) R(x)
REUSE: R(x) E(x) U(x) S(-) E(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>ADIOS</guess>",ADIOS,late_game,ADIOS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
DEBTS: D(✓) E(x) B(x) T(x) S(-)
WHELK: W(x) H(x) E(x) L(x) K(x)
ERHUS: E(x) R(x) H(x) U(x) S(-)
CHORE: C(-) H(x) O(x) R(x) E(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>DISCI</guess>",DISCI,late_game,DISCI
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
CALOS: C(-) A(x) L(x) O(x) S(x)
ARVAL: A(x) R(x) V(x) A(x) L(x)
BLOOD: B(x) L(x) O(x) O(x) D(x)
BLAWN: B(x) L(x) A(x) W(x) N(x)
RUMLY: R(x) U(✓) M(-) L(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>MUTCH</guess>",MUTCH,late_game,MUTCH
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
PENNA: P(x) E(x) N(x) N(x) A(✓)
BINIT: B(x) I(x) N(x) I(x) T(x)
SHALY: S(x) H(x) A(-) L(x) Y(x)
WADIS: W(✓) A(-) D(x) I(x) S(x)
KORUN: K(-) O(✓) R(x) U(x) N(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>WOKKA</guess>",WOKKA,late_game,WOKKA
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
GRIPS: G(x) R(-) I(-) P(x) S(x)
SADES: S(x) A(-) D(x) E(x) S(x)
JAUKS: J(x) A(-) U(x) K(x) S(x)
SORAL: S(x) O(x) R(-) A(-) L(x)
BIOTA: B(x) I(-) O(x) T(x) A(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>INFRA</guess>",INFRA,late_game,INFRA
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
OKEHS: O(-) K(x) E(-) H(x) S(x)
GOBAR: G(x) O(✓) B(-) A(x) R(x)
DUKED: D(x) U(x) K(x) E(-) D(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know O is at position 2. The word contains B, E but in different positions. I can eliminate D, U, R. Let me choose a word that satisfies these constraints.</think><guess>BONNE</guess>",BONNE,mid_game,COMBE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
POWNY: P(x) O(-) W(x) N(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains O but in different positions. I can eliminate N, P, Y. Let me choose a word that satisfies these constraints.</think><guess>TROLL</guess>",TROLL,mid_game,SMORE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
FEMES: F(x) E(x) M(x) E(x) S(x)
ANTRA: A(x) N(x) T(-) R(-) A(x)
ABOMA: A(x) B(x) O(x) M(x) A(x)
CUSSO: C(x) U(-) S(x) S(x) O(x)
GERMS: G(x) E(x) R(✓) M(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>VIRTU</guess>",VIRTU,late_game,VIRTU
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Beginning with a balanced mix of vowels and consonants in common positions.</think><guess>YATES</guess>,YATES,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
YEUKS: Y(-) E(x) U(x) K(x) S(x)
AWDLS: A(x) W(x) D(x) L(x) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains Y but in different positions. I can eliminate D, U, K. Let me choose a word that satisfies these constraints.</think><guess>MOORY</guess>",MOORY,mid_game,MOGGY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
TUNGS: T(x) U(-) N(x) G(x) S(-)
SEXED: S(-) E(-) X(x) E(x) D(x)
PEEKS: P(x) E(-) E(x) K(x) S(-)
MOODY: M(x) O(x) O(x) D(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>URASE</guess>",URASE,late_game,URASE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
LORIS: L(x) O(x) R(x) I(x) S(x)
DOUAR: D(x) O(x) U(x) A(-) R(x)
WAGES: W(x) A(-) G(x) E(-) S(x)
RINES: R(x) I(x) N(x) E(-) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Based on all the feedback, I can narrow down the possibilities to very few words. Let me choose the most likely candidate.</think><guess>EPACT</guess>",EPACT,late_game,BEATY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
TEMPS: T(x) E(-) M(x) P(x) S(x)
TASTY: T(x) A(✓) S(x) T(x) Y(✓)
MANET: M(x) A(✓) N(✓) E(✓) T(x)
PRILL: P(x) R(x) I(x) L(x) L(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>WANEY</guess>",WANEY,late_game,WANEY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
RURUS: R(x) U(x) R(x) U(x) S(✓)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know S is at position 5. I can eliminate U, R. Let me choose a word that satisfies these constraints.</think><guess>VEGES</guess>",VEGES,mid_game,AWAYS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
MERES: M(x) E(x) R(x) E(x) S(x)
TAMED: T(x) A(✓) M(x) E(x) D(x)
STIVY: S(x) T(x) I(-) V(x) Y(x)
VELDS: V(x) E(x) L(x) D(x) S(x)
KOJIS: K(x) O(x) J(✓) I(-) S(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>After eliminating so many options, the answer should be clear from the remaining constraints.</think><guess>HAJJI</guess>",HAJJI,late_game,HAJJI
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll start with a word containing common vowels and consonants to maximize information gain.</think><guess>DUOMI</guess>,DUOMI,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
KHETH: K(x) H(x) E(-) T(x) H(x)
KALIF: K(x) A(x) L(x) I(x) F(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains E but in different positions. I can eliminate K, F, T. Let me choose a word that satisfies these constraints.</think><guess>NEWER</guess>",NEWER,mid_game,POWER
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
VERTU: V(x) E(x) R(x) T(x) U(x)
JERID: J(x) E(x) R(x) I(x) D(x)
NICHT: N(x) I(x) C(x) H(x) T(x)
PEELS: P(x) E(x) E(x) L(x) S(x)
VELUM: V(x) E(x) L(x) U(x) M(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>Combining all the position and letter information, I can deduce the most probable answer.</think><guess>BYWAY</guess>",BYWAY,late_game,BYWAY
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
FADES: F(x) A(x) D(x) E(x) S(✓)
APTED: A(x) P(x) T(✓) E(x) D(x)
INNED: I(x) N(x) N(x) E(x) D(x)
CORBY: C(x) O(x) R(x) B(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>KUTUS</guess>",KUTUS,late_game,KUTUS
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
NETTS: N(-) E(x) T(x) T(x) S(x)
SLEEP: S(x) L(x) E(x) E(x) P(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>The word contains N but in different positions. I can eliminate T, L, S. Let me choose a word that satisfies these constraints.</think><guess>DRANK</guess>",DRANK,mid_game,DRANK
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
MAUVE: M(x) A(-) U(-) V(x) E(✓)
AGRIA: A(-) G(x) R(-) I(x) A(x)
ALERT: A(-) L(x) E(-) R(✓) T(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>I know E is at position 5, R is at position 4. The word contains E, U but in different positions. I can eliminate G, T, L. Let me choose a word that satisfies these constraints.</think><guess>QUARE</guess>",QUARE,mid_game,QUARE
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Starting with a word containing multiple vowels will help narrow down possibilities quickly.</think><guess>ORANG</guess>,ORANG,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
GATOR: G(x) A(x) T(-) O(x) R(✓)
ORGUE: O(x) R(✓) G(x) U(x) E(-)
GANEV: G(x) A(x) N(x) E(✓) V(x)
WISTS: W(x) I(x) S(x) T(-) S(x)
MUZAK: M(x) U(x) Z(x) A(x) K(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>TRYER</guess>",TRYER,late_game,TRYER
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>I'll choose a word with common letters in typical positions for English words.</think><guess>JOBED</guess>,JOBED,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your first guess:",<think>Starting with a word containing multiple vowels will help narrow down possibilities quickly.</think><guess>ARYLS</guess>,ARYLS,first_guess,
"You are playing Wordle. Your goal is to guess a 5-letter word.

Previous guesses:
NITER: N(x) I(x) T(x) E(✓) R(x)
SPRIG: S(-) P(x) R(x) I(x) G(x)
MADRE: M(✓) A(x) D(x) R(x) E(-)
CABBY: C(x) A(x) B(✓) B(x) Y(x)

Output format:
<think>your reasoning</think><guess>WORD</guess>

Make your next guess:","<think>With so many constraints identified, there are only a handful of valid words remaining. I'll pick the one that best fits.</think><guess>MOBES</guess>",MOBES,late_game,MOBES
